Arbeitslosenquote, Früheres Bundesgebiet ohne Berlin-West (Quelle: Statistik der Bundesagentur für Arbeit)
Datum;Arbeitslosenquote aller zivilen Erwerbspersonen, insgesamt in %;Arbeitslosenquote aller zivilen Erwerbspersonen, Männer in %;Arbeitslosenquote aller zivilen Erwerbspersonen, Frauen in %;Arbeitslosenquote aller zivilen Erwerbspersonen, Jugendliche unter 20 Jahren in %;Arbeitslosenquote aller abhängig zivilen Erwerbspersonen in %
01/04/2010;6,9;7,1;6,7;3,1;7,8
01/05/2010;6,6;6,7;6,4;3,0;7,4
01/06/2010;6,4;6,5;6,4;3,0;7,2
01/07/2010;6,5;6,5;6,6;4,0;7,3
01/08/2010;6,6;6,5;6,7;4,6;7,4
01/09/2010;6,2;6,1;6,4;3,5;7,0
01/10/2010;6,1;5,9;6,2;3,1;6,8
01/11/2010;6,0;5,9;6,1;2,8;6,7
01/12/2010;6,1;6,1;6,1;2,8;6,9
01/01/2011;6,7;7,0;6,5;3,0;7,6
01/02/2011;6,6;6,9;6,4;3,0;7,4
01/03/2011;6,4;6,6;6,3;2,9;7,2
01/04/2011;6,2;6,2;6,2;2,7;6,9
01/05/2011;6,0;5,9;6,0;2,7;6,7
01/06/2011;5,8;5,7;5,9;2,7;6,5
01/07/2011;6,0;5,8;6,1;3,5;6,7
01/08/2011;6,0;5,8;6,2;4,3;6,7
01/09/2011;5,7;5,5;5,9;3,3;6,4
01/10/2011;5,6;5,4;5,7;2,8;6,2
01/11/2011;5,5;5,3;5,6;2,6;6,1
01/12/2011;5,6;5,5;5,7;2,6;6,2
01/01/2012;6,2;6,3;6,0;2,8;6,9
01/02/2012;6,2;6,4;6,0;2,9;7,0
01/03/2012;6,1;6,2;5,9;2,9;6,8
01/04/2012;6,0;6,0;6,0;2,7;6,7
01/05/2012;5,7;5,7;5,8;2,7;6,4
01/06/2012;5,7;5,6;5,7;2,7;6,4
01/07/2012;5,9;5,8;6,0;3,4;6,6
01/08/2012;6,0;5,8;6,1;4,2;6,7
01/09/2012;5,7;5,6;5,9;3,3;6,4
01/10/2012;5,6;5,5;5,8;2,9;6,3
01/11/2012;5,6;5,6;5,7;2,8;6,3
01/12/2012;5,8;5,8;5,7;2,8;6,5
01/01/2013;6,4;6,6;6,1;2,9;7,1
01/02/2013;6,4;6,7;6,1;3,0;7,2
01/03/2013;6,3;6,5;6,0;3,0;7,0
01/04/2013;6,2;6,3;6,0;2,8;6,9
01/05/2013;6,0;6,0;5,9;2,7;6,7
01/06/2013;5,8;5,9;5,8;2,8;6,5
01/07/2013;6,0;6,0;6,0;3,5;6,7
01/08/2013;6,1;6,0;6,1;4,3;6,8
01/09/2013;5,9;5,8;5,9;3,5;6,6
01/10/2013;5,8;5,7;5,8;3,0;6,4
01/11/2013;5,8;5,7;5,8;2,9;6,4
01/12/2013;5,9;5,9;5,8;2,8;6,6
01/01/2014;6,4;6,6;6,1;3,0;7,1
